Run, Hit, HitSpeed, StopPos 
00357, 00177, 00352, 00272
00358, 00175, 00357, 00267
00359, 00181, 00365, 00276
00360, 00177, 00359, 00267
00361, 00184, 00374, 00275
00362, 00189, 00375, 00278
00363, 00187, 00378, 00276
00364, 00178, 00362, 00273
00365, 00179, 00367, 00268
00366, 00184, 00372, 00277
00367, 00181, 00362, 00272
00368, 00174, 00358, 00266
00369, 00178, 00359, 00272
00370, 00174, 00354, 00267
00371, 00178, 00356, 00277
00372, 00179, 00361, 00274
00373, 00185, 00372, 00275
00374, 00183, 00370, 00276
00375, 00178, 00362, 00269
00376, 00182, 00369, 00270
00377, 00182, 00367, 00271
00378, 00187, 00370, 00279
00379, 00182, 00371, 00276
00380, 00177, 00359, 00271
00381, 00174, 00359, 00271
00382, 00178, 00367, 00271
00383, 00185, 00371, 00272
00384, 00180, 00366, 00266
00385, 00182, 00363, 00269
00386, 00183, 00368, 00276
00387, 00183, 00371, 00274
00388, 00181, 00364, 00273
00389, 00182, 00369, 00273
00390, 00182, 00365, 00270
00391, 00179, 00367, 00277
00392, 00177, 00357, 00273
00393, 00176, 00357, 00269
00394, 00181, 00367, 00275
00395, 00179, 00361, 00270
00396, 00180, 00360, 00275
00397, 00181, 00367, 00269
00398, 00180, 00366, 00271
00399, 00185, 00374, 00278
00400, 00184, 00368, 00276
00401, 00179, 00354, 00276
00402, 00174, 00358, 00268
00403, 00176, 00357, 00270
00404, 00183, 00371, 00276
00405, 00180, 00363, 00267
00406, 00183, 00367, 00272
00407, 00181, 00364, 00271
00408, 00182, 00362, 00275
00409, 00178, 00364, 00271
00410, 00180, 00359, 00270
00411, 00188, 00374, 00283
00412, 00181, 00364, 00271
00413, 00174, 00354, 00267
00414, 00174, 00358, 00271
00415, 00178, 00359, 00271
00416, 00181, 00359, 00278
00417, 00177, 00356, 00270
00418, 00179, 00367, 00272
00419, 00183, 00374, 00272
00420, 00181, 00364, 00272
00421, 00183, 00368, 00274
00422, 00182, 00372, 00270
